"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"475",40.7,40.0275159744409,12,41,41,41,41
"476",40.7,40.0052715654952,12,41,41,41,41
"477",40.7,39.3208067092652,12,41,41,41,41
"478",40.7,39.8513178913738,12,41,41,41,41
"479",35.14,39.9208865814696,12,41,41,41,41
"480",37.37,40.0241214057508,22,41,41,41,41
"481",39.88,40.114696485623,22,41,41,41,41
"482",40.23,40.0979233226837,22,41,41,41,41
"483",40.61,40.0525159744409,12,41,41,41,41
"484",40.66,40.1003756093663,22,41,41,41,41
"485",40.7,40.0922855658983,22,41,41,41,41
"486",40.04,39.9949680511182,12,41,41,41,41
"487",40.66,40.0060702875399,12,41,41,41,41
"488",40.62,40.0517172523962,12,41,41,41,41
"489",40.33,40.0552115376933,12,41,41,41,41
"490",40.61,40.0423722044728,12,41,41,41,41
"491",40.29,39.9457268370607,12,41,41,41,41
"492",40.66,39.9199952069021,12,41,41,41,41
"493",39.58,39.969923310433,12,41,41,41,41
"494",40.7,40.0791260584758,22,41,41,41,41
"495",40.62,40.0043130990415,12,41,41,41,41
"496",39.71,39.8676182479709,12,41,41,41,41
"497",40.7,39.879892954146,12,41,41,41,41
"498",40.46,39.9133785942492,12,41,41,41,41
"499",40.7,39.8943290734824,12,41,41,41,41
"500",40.66,39.8873621984343,12,41,41,41,41
"501",40.66,31.3766129998801,2,32,32,32,32
"502",40.66,31.6526706883465,12,32,32,32,32
"503",40.62,35.9281834158811,27,37,37,37,37
"504",40.7,36.3919156414763,22,37,37,37,37
"505",40.7,36.588432656974,27,37,37,37,37
"506",40.37,40.1668130990415,27,41,41,41,41
"507",40.52,40.4563099041534,32,41,41,41,41
"508",39.6,40.4400559105431,32,41,41,41,41
"509",40.66,40.3722843450479,27,41,41,41,41
"510",39.74,40.5069089456869,32,41,41,41,41
"511",40.62,40.4901357827476,32,41,41,41,41
"512",40.49,40.4950479233227,32,41,41,41,41
"513",40.66,40.4992811501597,32,41,41,41,41
"514",40.66,40.4860223642173,27,41,41,41,41
"515",40.7,40.4281549520767,27,41,41,41,41
"516",40.53,40.395607028754,27,41,41,41,41
"517",40.7,40.4631389776358,27,41,41,41,41
"518",40.66,40.4635383386581,27,41,41,41,41
